=== Run information ===

Scheme:
	RandomForest -P 100 -I 300 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1

Lagged and derived variable options:
	-F [Sottoarea_8.Prodotto_2.Vendite] -L 1 -M 365 -R 30,60,90,365 -G Sottoarea_8.Prodotto_2.Data -dayofweek -weekend

Relation:     Prodotto2_Sottoarea_8-weka.filters.unsupervised.attribute.Remove-R1-6
Instances:    870
Attributes:   4
              Sottoarea_8.Prodotto_2.Data
              Sottoarea_8.Prodotto_2.Day
              Sottoarea_8.Prodotto_2.Season
              Sottoarea_8.Prodotto_2.Vendite

Transformed training data:

              Sottoarea_8.Prodotto_2.Vendite
              DayOfWeek
              Weekend
              Sottoarea_8.Prodotto_2.Data-remapped
              Lag_Sottoarea_8.Prodotto_2.Vendite-30
              Lag_Sottoarea_8.Prodotto_2.Vendite-60
              Lag_Sottoarea_8.Prodotto_2.Vendite-90
              Lag_Sottoarea_8.Prodotto_2.Vendite-365
              Sottoarea_8.Prodotto_2.Data-remapped^2
              Sottoarea_8.Prodotto_2.Data-remapped^3
              Sottoarea_8.Prodotto_2.Data-remapped*Lag_Sottoarea_8.Prodotto_2.Vendite-30
              Sottoarea_8.Prodotto_2.Data-remapped*Lag_Sottoarea_8.Prodotto_2.Vendite-60
              Sottoarea_8.Prodotto_2.Data-remapped*Lag_Sottoarea_8.Prodotto_2.Vendite-90
              Sottoarea_8.Prodotto_2.Data-remapped*Lag_Sottoarea_8.Prodotto_2.Vendite-365

Sottoarea_8.Prodotto_2.Vendite:
RandomForest

Bagging with 300 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

=== Predictions for training data: Sottoarea_8.Prodotto_2.Vendite (10-steps ahead) ===

      inst#       actual    predicted        error
        375            2       1.7323      -0.2677
        376            1       0.7399      -0.2601
        377            1       1.3197       0.3197
        378            2       2.3387       0.3387
        379            4       3.3397      -0.6603
        380            3        3.079        0.079
        381            3       2.8892      -0.1108
        382            0       0.7715       0.7715
        383            0       0.3733       0.3733
        384            2       2.0689       0.0689
        385            3       2.9536      -0.0464
        386            2       2.2788       0.2788
        387            3        3.042        0.042
        388            4       3.3938      -0.6062
        389            2       1.7444      -0.2556
        390            1        0.879       -0.121
        391            2       2.2124       0.2124
        392            3       3.2567       0.2567
        393            3       2.8798      -0.1202
        394            1       1.5309       0.5309
        395            3       3.0216       0.0216
        396            1       1.3978       0.3978
        397            1       1.2032       0.2032
        398            2       2.0874       0.0874
        399            3       2.8012      -0.1988
        400            3       3.0187       0.0187
        401            2       2.3385       0.3385
        402            2       2.4183       0.4183
        403            3       2.5816      -0.4184
        404            2       1.7467      -0.2533
        405            2       2.0476       0.0476
        406            2       2.4587       0.4587
        407            2        2.469        0.469
        408            2       2.6973       0.6973
        409            7       5.5707      -1.4293
        410            3       2.7227      -0.2773
        411            2       1.6285      -0.3715
        412            3        2.867       -0.133
        413            2       2.2979       0.2979
        414            5       4.2046      -0.7954
        415            5       4.3374      -0.6626
        416            4       3.6097      -0.3903
        417            3       2.6874      -0.3126
        418            2       1.5522      -0.4478
        419            2       2.0685       0.0685
        420            3        3.295        0.295
        421            3       3.2367       0.2367
        422            3       3.5907       0.5907
        423            4       4.0567       0.0567
        424            3       2.5608      -0.4392
        425            1       1.2681       0.2681
        426            2       2.0487       0.0487
        427            4       3.4968      -0.5032
        428            3       2.9384      -0.0616
        429            7       5.7307      -1.2693
        430            2       2.6975       0.6975
        431            6       4.5548      -1.4452
        432            2       2.0224       0.0224
        433            3       2.7594      -0.2406
        434            3       2.8499      -0.1501
        435            3        2.979       -0.021
        436            4       3.9798      -0.0202
        437            3       2.9508      -0.0492
        438            2       2.2693       0.2693
        439            1       1.2477       0.2477
        440            1        1.471        0.471
        441            2       2.2968       0.2968
        442            5       4.1809      -0.8191
        443            4       3.6305      -0.3695
        444            4       3.7389      -0.2611
        445            2       2.1287       0.1287
        446            0         0.61         0.61
        447            2       2.2189       0.2189
        448            3       2.4492      -0.5508
        449            3       3.0444       0.0444
        450            3        3.354        0.354
        451            5       4.2127      -0.7873
        452            2       2.0822       0.0822
        453            1       1.0784       0.0784
        454            2        2.093        0.093
        455            2        2.446        0.446
        456            4       3.7333      -0.2667
        457            2       2.7132       0.7132
        458            4       3.8655      -0.1345
        459            4       3.3437      -0.6563
        460            1         1.21         0.21
        461            1       1.8884       0.8884
        462            2       2.3135       0.3135
        463            3       3.0204       0.0204
        464            3       3.1476       0.1476
        465            3       3.2289       0.2289
        466            0       0.7888       0.7888
        467            3       2.5094      -0.4906
        468            4       3.3549      -0.6451
        469            7       5.6609      -1.3391
        470            3       2.8768      -0.1232
        471            4       3.8793      -0.1207
        472            4       4.0052       0.0052
        473            3       2.4885      -0.5115
        474            2       2.3307       0.3307
        475            1       1.4574       0.4574
        476            1       1.4372       0.4372
        477            2       2.3216       0.3216
        478            3       3.2164       0.2164
        479            3       3.1654       0.1654
        480            2        2.233        0.233
        481            1       1.4632       0.4632
        482            3       2.4686      -0.5314
        483            3       2.9483      -0.0517
        484            3       2.9773      -0.0227
        485            5       4.4939      -0.5061
        486            2       2.5617       0.5617
        487            1         1.51         0.51
        488            3       2.5267      -0.4733
        489            2       2.2794       0.2794
        490            3       2.8999      -0.1001
        491            3       2.6593      -0.3407
        492            4        3.885       -0.115
        493            7       5.6607      -1.3393
        494            6       4.8667      -1.1333
        495            2       2.1287       0.1287
        496            3       3.3149       0.3149
        497            3       2.7643      -0.2357
        498            2       2.1746       0.1746
        499            3       3.0772       0.0772
        500            4       3.7678      -0.2322
        501            1       1.7497       0.7497
        502            5       3.7656      -1.2344
        503            9       6.3157      -2.6843
        504            5       4.0755      -0.9245
        505            3       2.7992      -0.2008
        506            4       3.8878      -0.1122
        507            4       3.6709      -0.3291
        508            5       4.3631      -0.6369
        509            1       1.5158       0.5158
        510            1       1.5189       0.5189
        511            3       2.9811      -0.0189
        512            3       2.8487      -0.1513
        513            4       3.7364      -0.2636
        514            4       3.6256      -0.3744
        515            3       2.5167      -0.4833
        516            1       1.4133       0.4133
        517            1       1.4386       0.4386
        518            1       1.4984       0.4984
        519            3       2.8247      -0.1753
        520            4       3.7682      -0.2318
        521            3       3.0503       0.0503
        522            0       1.1236       1.1236
        523            1       1.4533       0.4533
        524            3       2.5984      -0.4016
        525            1       1.7964       0.7964
        526            2       2.1007       0.1007
        527            4       3.7126      -0.2874
        528            1       1.6911       0.6911
        529            4       3.1547      -0.8453
        530            5       3.6016      -1.3984
        531            2       2.0303       0.0303
        532            3       2.9819      -0.0181
        533            2       1.9825      -0.0175
        534            3       3.0197       0.0197
        535            2       2.3668       0.3668
        536            0        0.823        0.823
        537            1         1.12         0.12
        538            2       2.2181       0.2181
        539            3       2.9574      -0.0426
        540            1        1.521        0.521
        541            3       3.0921       0.0921
        542            3        2.943       -0.057
        543            2       1.7922      -0.2078
        544            0        0.263        0.263
        545            1       2.1644       1.1644
        546            2       2.5911       0.5911
        547            2        2.054        0.054
        548            3       3.0661       0.0661
        549            2       2.3983       0.3983
        550            2       1.7622      -0.2378
        551            0          0.5          0.5
        552            2       2.3951       0.3951
        553            5       4.6136      -0.3864
        554            1       1.2574       0.2574
        555            3       3.0564       0.0564
        556            2         2.27         0.27
        557            1       1.1592       0.1592
        558            1       0.8624      -0.1376
        559            2       1.9985      -0.0015
        560            2       2.2363       0.2363
        561            1       1.7464       0.7464
        562            4       3.4049      -0.5951
        563            3       2.9004      -0.0996
        564            1       1.1062       0.1062
        565            1       0.8667      -0.1333
        566            3       3.0797       0.0797
        567            3       2.9549      -0.0451
        568            1       1.4192       0.4192
        569            2       2.4001       0.4001
        570            1       1.6034       0.6034
        571            1       1.0519       0.0519
        572            1       0.8599      -0.1401
        573            1       1.7641       0.7641
        574            3       2.9124      -0.0876
        575            2       2.0017       0.0017
        576            2       2.4481       0.4481
        577            3       2.7772      -0.2228
        578            2       1.8333      -0.1667
        579            1       0.9167      -0.0833
        580            4       2.9578      -1.0422
        581            3       3.0382       0.0382
        582            2       2.1445       0.1445
        583            3       2.9177      -0.0823
        584            3       2.8045      -0.1955
        585            2        1.678       -0.322
        586            0        0.298        0.298
        587            2        2.046        0.046
        588            3       3.1948       0.1948
        589            3       2.4849      -0.5151
        590            2       2.4451       0.4451
        591            2       2.2733       0.2733
        592            0       0.3375       0.3375
        593            0       0.2615       0.2615
        594            2       1.8704      -0.1296
        595            5       4.2891      -0.7109
        596            1       1.4243       0.4243
        597            3         2.78        -0.22
        598            3       2.8163      -0.1837
        599            0       0.2789       0.2789
        600            0       0.2491       0.2491
        601            1       1.4173       0.4173
        602            2       2.5322       0.5322
        603            1       1.6291       0.6291
        604            2       2.3827       0.3827
        605            2       2.3485       0.3485
        606            2       1.8033      -0.1967
        607            0       0.2567       0.2567
        608            2       1.8876      -0.1124
        609            3       3.2074       0.2074
        610            1       1.3066       0.3066
        611            2       2.5702       0.5702
        612            3       2.9525      -0.0475
        613            0       0.1943       0.1943
        614            1       0.9298      -0.0702
        615            1       1.5439       0.5439
        616            2        2.266        0.266
        617            5       4.0174      -0.9826
        618            5       4.2595      -0.7405
        619            3       2.9511      -0.0489
        620            2       1.6301      -0.3699
        621            1       0.9293      -0.0707
        622            7       5.2782      -1.7218
        623            3       2.7201      -0.2799
        624            2       2.5554       0.5554
        625            3       3.4286       0.4286
        626            3       2.7724      -0.2276
        627            0       0.3832       0.3832
        628            1       0.9632      -0.0368
        629            3       3.0206       0.0206
        630            3       3.1035       0.1035
        631            2       2.2163       0.2163
        632            2       2.4036       0.4036
        633            3       2.7429      -0.2571
        634            1       1.2793       0.2793
        635            1       0.8567      -0.1433
        636            1       1.8969       0.8969
        637            2       2.2469       0.2469
        638            2       2.2166       0.2166
        639            6       5.0854      -0.9146
        640            2       2.1331       0.1331
        641            2       1.6994      -0.3006
        642            1         0.94        -0.06
        643            2       2.2736       0.2736
        644            3        3.014        0.014
        645            3       2.6349      -0.3651
        646            3       3.3334       0.3334
        647            3        2.854       -0.146
        648            0       0.3605       0.3605
        649            1       0.9567      -0.0433
        650            4       3.1524      -0.8476
        651            5         4.23        -0.77
        652            2       2.1287       0.1287
        653            6       4.8622      -1.1378
        654            2        2.324        0.324
        655            1       0.8667      -0.1333
        656            1       0.8398      -0.1602
        657            3        2.895       -0.105
        658            3       2.9526      -0.0474
        659            2       2.1365       0.1365
        660            2       2.5335       0.5335
        661            3       2.8966      -0.1034
        662            2       1.8767      -0.1233
        663            0       0.3167       0.3167
        664            2       2.1163       0.1163
        665            2       2.4487       0.4487
        666            2       2.2538       0.2538
        667            3       3.2933       0.2933
        668            2         2.35         0.35
        669            1        0.986       -0.014
        670            0       0.3135       0.3135
        671            3        2.836       -0.164
        672            2       2.3734       0.3734
        673            2       2.2996       0.2996
        674            3       3.1027       0.1027
        675            3       2.8673      -0.1327
        676            3       2.3567      -0.6433
        677            1       0.8095      -0.1905
        678            3       3.3833       0.3833
        679            4       3.5452      -0.4548
        680            2       1.9221      -0.0779
        681            5       4.1103      -0.8897
        682            3         2.93        -0.07
        683            1       1.0066       0.0066
        684            1         0.94        -0.06
        685            2       2.0887       0.0887
        686            3       3.0689       0.0689
        687            2       2.2019       0.2019
        688            2        2.503        0.503
        689            2       2.3255       0.3255
        690            1          1.1          0.1
        691            1       0.7717      -0.2283
        692            5       4.1754      -0.8246
        693            2       2.3138       0.3138
        694            4       3.4711      -0.5289
        695            3       3.0733       0.0733
        696            3       3.0132       0.0132
        697            1         1.28         0.28
        698            1       0.8456      -0.1544
        699            2       2.0167       0.0167
        700            3       2.9379      -0.0621
        701            1       1.4892       0.4892
        702            3       3.0184       0.0184
        703            5       4.1552      -0.8448
        704            0       0.3668       0.3668
        705            0       0.2583       0.2583
        706            3       2.7373      -0.2627
        707            0       0.9088       0.9088
        708            2       2.1406       0.1406
