=== Run information ===

Scheme:
	RandomForest -P 100 -I 300 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1

Lagged and derived variable options:
	-F [Sottoarea_11.Prodotto_2.Vendite] -L 1 -M 365 -R 30,60,90,365 -G Sottoarea_11.Prodotto_2.Data -dayofweek -weekend

Relation:     Prodotto2_Sottoarea_11-weka.filters.unsupervised.attribute.Remove-R1-6
Instances:    870
Attributes:   4
              Sottoarea_11.Prodotto_2.Data
              Sottoarea_11.Prodotto_2.Day
              Sottoarea_11.Prodotto_2.Season
              Sottoarea_11.Prodotto_2.Vendite

Transformed training data:

              Sottoarea_11.Prodotto_2.Vendite
              DayOfWeek
              Weekend
              Sottoarea_11.Prodotto_2.Data-remapped
              Lag_Sottoarea_11.Prodotto_2.Vendite-30
              Lag_Sottoarea_11.Prodotto_2.Vendite-60
              Lag_Sottoarea_11.Prodotto_2.Vendite-90
              Lag_Sottoarea_11.Prodotto_2.Vendite-365
              Sottoarea_11.Prodotto_2.Data-remapped^2
              Sottoarea_11.Prodotto_2.Data-remapped^3
              Sottoarea_11.Prodotto_2.Data-remapped*Lag_Sottoarea_11.Prodotto_2.Vendite-30
              Sottoarea_11.Prodotto_2.Data-remapped*Lag_Sottoarea_11.Prodotto_2.Vendite-60
              Sottoarea_11.Prodotto_2.Data-remapped*Lag_Sottoarea_11.Prodotto_2.Vendite-90
              Sottoarea_11.Prodotto_2.Data-remapped*Lag_Sottoarea_11.Prodotto_2.Vendite-365

Sottoarea_11.Prodotto_2.Vendite:
RandomForest

Bagging with 300 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

=== Predictions for training data: Sottoarea_11.Prodotto_2.Vendite (10-steps ahead) ===

      inst#       actual    predicted        error
        375            1       0.8779      -0.1221
        376            0        0.167        0.167
        377            2       1.8245      -0.1755
        378            1       1.1786       0.1786
        379            4       3.0229      -0.9771
        380            3       2.5742      -0.4258
        381            1       1.4504       0.4504
        382            0       0.3932       0.3932
        383            0       0.2714       0.2714
        384            1       1.2988       0.2988
        385            2       1.9075      -0.0925
        386            2       2.1048       0.1048
        387            2       2.0241       0.0241
        388            2       1.8526      -0.1474
        389            1       0.9112      -0.0888
        390            1       0.8811      -0.1189
        391            1       1.1698       0.1698
        392            1        1.435        0.435
        393            1       1.5004       0.5004
        394            2       1.9313      -0.0687
        395            1       1.3934       0.3934
        396            1       0.9767      -0.0233
        397            1       0.9631      -0.0369
        398            1       1.3935       0.3935
        399            2       1.9675      -0.0325
        400            1       1.4857       0.4857
        401            2       1.9122      -0.0878
        402            2       1.9983      -0.0017
        403            1       0.9533      -0.0467
        404            1       0.9679      -0.0321
        405            2       1.7675      -0.2325
        406            2       1.9689      -0.0311
        407            2       1.7922      -0.2078
        408            1       1.2394       0.2394
        409            2        1.918       -0.082
        410            2       1.6036      -0.3964
        411            1        0.751       -0.249
        412            1       1.4029       0.4029
        413            2       1.7579      -0.2421
        414            2       1.8414      -0.1586
        415            2       2.0386       0.0386
        416            2        1.939       -0.061
        417            1       1.0462       0.0462
        418            0        0.296        0.296
        419            2       2.0494       0.0494
        420            1       1.3194       0.3194
        421            1       1.2661       0.2661
        422            2        1.935       -0.065
        423            2       2.0114       0.0114
        424            1       1.0395       0.0395
        425            0       0.2758       0.2758
        426            2       2.2967       0.2967
        427            2       1.9768      -0.0232
        428            1       1.4212       0.4212
        429            3       2.9802      -0.0198
        430            2       1.9748      -0.0252
        431            1       1.1958       0.1958
        432            1       0.9788      -0.0212
        433            4       3.4818      -0.5182
        434            2       2.1107       0.1107
        435            2       2.1387       0.1387
        436           11       7.8456      -3.1544
        437            3       2.7658      -0.2342
        438            1       1.1595       0.1595
        439            0         0.36         0.36
        440            6       4.6908      -1.3092
        441            6       4.5369      -1.4631
        442            5       3.7571      -1.2429
        443            3       2.8776      -0.1224
        444            3       2.7437      -0.2563
        445            1       1.0058       0.0058
        446            1       0.9285      -0.0715
        447            3       2.5781      -0.4219
        448            2        1.956       -0.044
        449            3       2.7479      -0.2521
        450            3       2.7182      -0.2818
        451            3       2.7532      -0.2468
        452            8       5.4208      -2.5792
        453            1       1.2902       0.2902
        454            1       1.6698       0.6698
        455            2       2.1362       0.1362
        456            2       2.3824       0.3824
        457            2       2.4176       0.4176
        458            3       2.7647      -0.2353
        459            3       2.6435      -0.3565
        460            2       1.7102      -0.2898
        461            1       1.4212       0.4212
        462            3       2.6952      -0.3048
        463            7       5.1601      -1.8399
        464            2       2.2398       0.2398
        465            2       2.1301       0.1301
        466            0       0.3912       0.3912
        467            2       1.6464      -0.3536
        468            4        3.264       -0.736
        469            3       2.9949      -0.0051
        470            2       2.2665       0.2665
        471            4       3.3944      -0.6056
        472            2       2.1601       0.1601
        473            2       2.1038       0.1038
        474            1       1.0847       0.0847
        475            1       1.3178       0.3178
        476            1       1.2686       0.2686
        477            1       1.4025       0.4025
        478            3       2.7849      -0.2151
        479            2       2.0075       0.0075
        480            1       1.1575       0.1575
        481            1       1.1278       0.1278
        482            2       2.1374       0.1374
        483            2        2.099        0.099
        484            1        1.501        0.501
        485            4       3.3709      -0.6291
        486            2       2.1118       0.1118
        487            0        0.463        0.463
        488            2       1.6466      -0.3534
        489            3       2.6398      -0.3602
        490            2       2.0837       0.0837
        491            3       2.4146      -0.5854
        492            2        2.054        0.054
        493            3       2.6203      -0.3797
        494            2       1.6618      -0.3382
