=== Run information ===

Scheme:
	RandomForest -P 100 -I 300 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1

Lagged and derived variable options:
	-F [Sottoarea_53.Prodotto_2.Vendite] -L 1 -M 365 -R 30,60,90,365 -G Sottoarea_53.Prodotto_2.Data -dayofweek -weekend

Relation:     Prodotto2_Sottoarea_53-weka.filters.unsupervised.attribute.Remove-R1-6
Instances:    870
Attributes:   4
              Sottoarea_53.Prodotto_2.Data
              Sottoarea_53.Prodotto_2.Day
              Sottoarea_53.Prodotto_2.Season
              Sottoarea_53.Prodotto_2.Vendite

Transformed training data:

              Sottoarea_53.Prodotto_2.Vendite
              DayOfWeek
              Weekend
              Sottoarea_53.Prodotto_2.Data-remapped
              Lag_Sottoarea_53.Prodotto_2.Vendite-30
              Lag_Sottoarea_53.Prodotto_2.Vendite-60
              Lag_Sottoarea_53.Prodotto_2.Vendite-90
              Lag_Sottoarea_53.Prodotto_2.Vendite-365
              Sottoarea_53.Prodotto_2.Data-remapped^2
              Sottoarea_53.Prodotto_2.Data-remapped^3
              Sottoarea_53.Prodotto_2.Data-remapped*Lag_Sottoarea_53.Prodotto_2.Vendite-30
              Sottoarea_53.Prodotto_2.Data-remapped*Lag_Sottoarea_53.Prodotto_2.Vendite-60
              Sottoarea_53.Prodotto_2.Data-remapped*Lag_Sottoarea_53.Prodotto_2.Vendite-90
              Sottoarea_53.Prodotto_2.Data-remapped*Lag_Sottoarea_53.Prodotto_2.Vendite-365

Sottoarea_53.Prodotto_2.Vendite:
RandomForest

Bagging with 300 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

=== Predictions for training data: Sottoarea_53.Prodotto_2.Vendite (10-steps ahead) ===

      inst#       actual    predicted        error
        375            3       2.2685      -0.7315
        376            2       1.6035      -0.3965
        377            2       2.4789       0.4789
        378            2       2.2702       0.2702
        379            4       3.4322      -0.5678
        380            3       2.9994      -0.0006
        381            2       2.1509       0.1509
        382            0       1.0151       1.0151
        383            0       0.7571       0.7571
        384            4       3.3692      -0.6308
        385            4       3.3777      -0.6223
        386            3       3.0527       0.0527
        387            3       3.2274       0.2274
        388            5       4.3377      -0.6623
        389            2         2.08         0.08
        390            2       1.8296      -0.1704
        391            2       2.2242       0.2242
        392            2       2.2901       0.2901
        393            4       3.5973      -0.4027
        394            2       2.6828       0.6828
        395            3       3.3964       0.3964
        396            1       2.1711       1.1711
        397            2       1.9394      -0.0606
        398            4       3.3967      -0.6033
        399            2       2.5121       0.5121
        400            4       3.7111      -0.2889
        401            5       4.5282      -0.4718
        402            3       3.3381       0.3381
        403            7        5.358       -1.642
        404            4       3.0814      -0.9186
        405            2       2.0419       0.0419
        406            4       3.7238      -0.2762
        407            4       3.7517      -0.2483
        408            4       3.9386      -0.0614
        409            4       3.8095      -0.1905
        410            6       4.8817      -1.1183
        411            1       1.4916       0.4916
        412            1       1.3068       0.3068
        413            3       3.0906       0.0906
        414            4        3.712       -0.288
        415            5       4.4527      -0.5473
        416            6       5.0665      -0.9335
        417            3       3.3681       0.3681
        418            3       2.7749      -0.2251
        419            1       1.2343       0.2343
        420            5       4.4131      -0.5869
        421            2       2.3901       0.3901
        422            4       3.9491      -0.0509
        423            4       4.0546       0.0546
        424            4       3.8545      -0.1455
        425            1       1.4421       0.4421
        426            1       1.3457       0.3457
        427            4       4.1283       0.1283
        428            2       2.6023       0.6023
        429            6       5.1628      -0.8372
        430            2       2.7469       0.7469
        431            5       4.0715      -0.9285
        432            3       2.5069      -0.4931
