=== Run information ===

Scheme:
	RandomForest -P 100 -I 300 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1

Lagged and derived variable options:
	-F [Sottoarea_127.Prodotto_1.Vendite] -L 1 -M 365 -R 30,60,90,365 -G Sottoarea_127.Prodotto_1.Data -dayofweek -weekend

Relation:     Prodotto1_Sottoarea_127-weka.filters.unsupervised.attribute.Remove-R1-6
Instances:    870
Attributes:   4
              Sottoarea_127.Prodotto_1.Data
              Sottoarea_127.Prodotto_1.Day
              Sottoarea_127.Prodotto_1.Season
              Sottoarea_127.Prodotto_1.Vendite

Transformed training data:

              Sottoarea_127.Prodotto_1.Vendite
              DayOfWeek
              Weekend
              Sottoarea_127.Prodotto_1.Data-remapped
              Lag_Sottoarea_127.Prodotto_1.Vendite-30
              Lag_Sottoarea_127.Prodotto_1.Vendite-60
              Lag_Sottoarea_127.Prodotto_1.Vendite-90
              Lag_Sottoarea_127.Prodotto_1.Vendite-365
              Sottoarea_127.Prodotto_1.Data-remapped^2
              Sottoarea_127.Prodotto_1.Data-remapped^3
              Sottoarea_127.Prodotto_1.Data-remapped*Lag_Sottoarea_127.Prodotto_1.Vendite-30
              Sottoarea_127.Prodotto_1.Data-remapped*Lag_Sottoarea_127.Prodotto_1.Vendite-60
              Sottoarea_127.Prodotto_1.Data-remapped*Lag_Sottoarea_127.Prodotto_1.Vendite-90
              Sottoarea_127.Prodotto_1.Data-remapped*Lag_Sottoarea_127.Prodotto_1.Vendite-365

Sottoarea_127.Prodotto_1.Vendite:
RandomForest

Bagging with 300 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

=== Predictions for training data: Sottoarea_127.Prodotto_1.Vendite (10-steps ahead) ===

      inst#       actual    predicted        error
        375            1       1.2305       0.2305
        376            0       0.1378       0.1378
        377           10       8.6722      -1.3278
        378            8       7.5157      -0.4843
        379           10       9.0369      -0.9631
        380            7       7.5042       0.5042
        381            8       8.3644       0.3644
        382            2       1.8504      -0.1496
        383            1       0.6337      -0.3663
        384            9       8.9919      -0.0081
        385            8       7.8046      -0.1954
        386            8       8.7546       0.7546
        387           10       8.9904      -1.0096
        388           10       9.2073      -0.7927
        389            1       1.3491       0.3491
        390            0       0.2632       0.2632
        391           10      10.0052       0.0052
        392            8       8.0031       0.0031
        393           13      11.1798      -1.8202
        394            7       7.6725       0.6725
        395            7        7.012        0.012
        396            2       1.7297      -0.2703
        397            0       0.1194       0.1194
        398           11      10.6193      -0.3807
        399            8       7.9449      -0.0551
        400           11       9.9644      -1.0356
        401           13      10.9737      -2.0263
        402            8       7.9437      -0.0563
        403            3        2.574       -0.426
        404            0       0.1615       0.1615
        405           11      10.3644      -0.6356
        406            6        6.623        0.623
        407            9       8.5808      -0.4192
        408            8       7.9734      -0.0266
        409            9       8.8096      -0.1904
        410            1       1.3667       0.3667
        411            0       0.0603       0.0603
        412            7        8.006        1.006
        413            7       7.2749       0.2749
        414            7       7.3805       0.3805
        415            8       7.9194      -0.0806
        416           10       9.5971      -0.4029
        417            1       1.2706       0.2706
        418            0       0.1332       0.1332
        419           10       9.3436      -0.6564
        420            7       7.3931       0.3931
        421            9       8.9388      -0.0612
        422            7       7.6537       0.6537
        423           10       9.7874      -0.2126
        424            2       1.8339      -0.1661
        425            0       0.1652       0.1652
        426            8       8.3853       0.3853
        427            6       7.0155       1.0155
        428           11       10.189       -0.811
        429            8       8.1677       0.1677
        430           10       9.4573      -0.5427
        431            2       2.2536       0.2536
        432            0       0.1753       0.1753
        433           13      10.8221      -2.1779
        434           11       9.8209      -1.1791
        435           10       9.5279      -0.4721
        436           12      10.6435      -1.3565
        437            8       8.2004       0.2004
        438            2       1.6943      -0.3057
        439            0       0.1677       0.1677
        440           11      10.0932      -0.9068
        441           11      10.1982      -0.8018
        442            9       8.6808      -0.3192
        443            6       5.7327      -0.2673
        444            8        6.531       -1.469
        445            1       1.0291       0.0291
        446            1       0.7029      -0.2971
        447            7       7.9378       0.9378
        448           10       8.9146      -1.0854
        449           10       8.5025      -1.4975
        450            8       7.9384      -0.0616
        451            8       8.0071       0.0071
        452            2        1.642       -0.358
        453            0       0.3668       0.3668
        454            6       6.8451       0.8451
        455            8       8.1434       0.1434
